START,struct impl func,∅
ARITHEXPR1,plus minus or eq neq lt gt leq geq,semi rsqbr comma rpar
ARRAYOPTION,rsqbr integer,semi lsqbr rpar comma
ASSIGNOP,equal,id lpar not integer plus minus
FLOATLIT,∅,semi mult div and rsqbr eq neq lt gt leq geq plus minus or comma rpar
FUNCBODY,lcurbr,struct impl func rcurbr
FUNCHEAD,func,semi lcurbr
FPARAMS,id,rpar
IDFACTOR,dot lpar lsqbr,semi mult div and rsqbr eq neq lt gt leq geq plus minus or comma rpar
IDFACTOR1,lpar lsqbr,semi mult div and rsqbr eq neq lt gt leq geq plus minus or comma rpar
IDNEST1,dot lpar lsqbr,semi mult div and dot lpar equal lsqbr rsqbr eq neq lt gt leq geq plus minus or comma rpar
APARAMS,id lpar not integer plus minus,rpar
INTLIT,integer,semi mult div and rsqbr eq neq lt gt leq geq plus minus or comma rpar
FUNCDECL,func,rcurbr public private
PROG,struct impl func,∅
RELEXPR,eq neq lt gt leq geq,semi rsqbr comma rpar
RELOP,eq neq lt gt leq geq,id lpar not integer plus minus
APARAMSTAIL,comma,comma rpar
REPTAPARAMS1,comma,rpar
REPTFPARAMS3,lsqbr,rpar comma
FPARAMSTAIL,comma,comma rpar
REPTFPARAMS4,comma,rpar
REPTFPARAMSTAIL4,lsqbr,comma rpar
REPTFUNCBODY1,let id if while read write return equal lsqbr,rcurbr
IDNEST,dot,semi mult div and dot lpar equal lsqbr rsqbr eq neq lt gt leq geq plus minus or comma rpar
REPTIDNEST1,lsqbr,dot
REPTIMPLDEF3,func,rcurbr
REPTOPTSTRUCTDECL22,comma,lcurbr
REPTPROG0,struct impl func,∅
MEMBERDECL,let func,rcurbr public private
ARRAYSIZE,lsqbr,semi lsqbr rpar comma
INDICE,lsqbr,semi mult div and lsqbr dot rsqbr equal eq neq lt gt leq geq plus minus or comma rpar
RETURNTYPE,void integer float id,semi lcurbr
ADDOP,plus minus or,id lpar not integer plus minus
RIGHTRECARITHEXPR,plus minus or,semi rsqbr comma rpar
MULTOP,mult div and,id lpar not integer plus minus
SIGN,plus minus,id lpar not integer plus minus
REPTSTATBLOCK1,id if while read write return equal lsqbr,rcurbr
REPTFUNCTIONCALLORVARIABLE,dot,semi mult div and lpar equal lsqbr rsqbr eq neq lt gt leq geq plus minus or comma rpar
ARITHEXPR,id lpar not integer plus minus,semi rsqbr comma rpar
STATBLOCK,lcurbr id if while read write return equal lsqbr,else semi
EXPR,id lpar not integer plus minus,semi comma rpar
STATEMENT1,lpar equal lsqbr,else semi let id if while read write return equal lsqbr rcurbr
FUNCTIONCALL,lpar,semi mult div and rsqbr eq neq lt gt leq geq plus minus or comma rpar
ASSIGNSTAT,equal lsqbr,semi
OPTSTRUCTDECL2,inherits,lcurbr
REPTSTRUCTDECL4,public private,rcurbr
STRUCTORIMPLORFUNC,struct impl func,struct impl func
STRUCTDECL,struct,struct impl func
IMPLDEF,impl,struct impl func
FUNCDEF,func,struct impl func rcurbr
TERM,id lpar not integer plus minus,semi rsqbr eq neq lt gt leq geq plus minus or comma rpar
FACTOR,id lpar not integer plus minus,semi mult div and rsqbr eq neq lt gt leq geq plus minus or comma rpar
RIGHTRECTERM,mult div and,semi rsqbr eq neq lt gt leq geq plus minus or comma rpar
TYPE,integer float id,rpar lcurbr comma lsqbr semi
REPTVARDECL4,lsqbr,semi
VARDECLORSTAT,let id if while read write return equal lsqbr,let id if while read write return equal lsqbr rcurbr
VARDECL,let,public private let id if while read write return equal lsqbr rcurbr
STATEMENT,id if while read write return equal lsqbr,else semi let id if while read write return equal lsqbr rcurbr
VARIABLE,lsqbr,semi mult div and rsqbr equal eq neq lt gt leq geq plus minus or comma rpar
REPTVARIABLE2,lsqbr,semi mult div and rsqbr equal eq neq lt gt leq geq plus minus or comma rpar
VISIBILITY,public private,let func
